sentence	label	category	augmented
There is a reason Garden Gate Magazine is able to pack in so much in so little room and the reason is there are no advertisements!!	1	Magazine_Subscriptions	False
Sweet love it.. Unsteady gets me to tears everytime.. great music..	1	CDs_and_Vinyl	False
I have had a very difficult time finding a hat to fit my small head, even resorting to purchasing kid-sized fedoras.	1	Clothing_Shoes_and_Jewelry	False
When everything is at your fingertips it is wonderful.	1	Arts_Crafts_and_Sewing	False
I did an e-gift card and it did not go through.	0	Gift_Cards	False
I thought this would be a nice gift for my wife for the year.	0	Subscription_Boxes	False
I donated it so someone else could look good in it.	0	Clothing_Shoes_and_Jewelry	False
I have to admit, I had very low expectations of this product due to less than stellar experiences with other instant coffees.	1	Grocery_and_Gourmet_Food	False
To begin with, it's a nice large size of vanilla, perfect for keeping in your pantry for cooking and baking.	0	Grocery_and_Gourmet_Food	False
It started out ok, but the holes do not match, once you start to connect the seating part.	0	Patio_Lawn_and_Garden	False
It is holding my rug flat now for a month and it works just great.	1	Industrial_and_Scientific	False
!<br />He takes a flash light, and see‘s  a bunch of thick lint, puts his arm down<br />The vent , which is about 2 ft long, and pulls up a bunch of dryer lint!	0	Industrial_and_Scientific	False
I miss the old 80s ab roller where you sit up and aren't putting pressure on your arms.	0	Sports_and_Outdoors	False
Was not easy to load from a Visa Gift Card	0	Gift_Cards	False
The movie is so scripted, it's almost as if the actors are reading their lines.	0	Movies_and_TV	False
Also I didn’t understand what to do with the step 4 bottle.	0	Beauty_and_Personal_Care	False
these cues look classy and are high quality.	1	Sports_and_Outdoors	False
The WILEY WALLABY is not what he wanted.	0	Grocery_and_Gourmet_Food	False
In full disclosure, I did not use this for a child gate.	1	Baby_Products	False
And leave the buttons off it so the kids can't change stuff.	0	Baby_Products	False
I still proceeded with the top coat because what other option was there???	0	Beauty_and_Personal_Care	False
It’s light without being too light and the size is perfect for using as a towel or to put over my yoga mat or my lounge chair to keep my dog’s fluff off the chair fabric.	1	Home_and_Kitchen	False
Both kennels had been placed together in one larger box for shipping so they should neither of them have had such a horrific tape job applied to them.	0	Pet_Supplies	False
I have a dozen or so pictures of my floor, table, computer ... LOL<br /><br />When I originally installed the app it sent itself to the internal sd card rather than installing in the actual phone internal memory.	0	Software	False
However, now that I have read this contains some cancer causing ingredients, I have tossed the bottle and have returned to my McCormick's.	0	Grocery_and_Gourmet_Food	False
I read somewhere in a review that you should always brew uuur tea for 30-60 seconds and throw that tea out and then brew it the desired amount of time.	1	Grocery_and_Gourmet_Food	False
Why do they have to include an annoying kid in so many of these Hallmark movies?	0	Movies_and_TV	False
The only thing this holder will really hold is a regular Bottle of water.	0	Automotive	False
Us we just like hearing her sing and thus buy the CD.<br />especially if i can time it on sale.<br />this disc is great.	1	CDs_and_Vinyl	False
I’ve bought about a dozen of these now.	1	Arts_Crafts_and_Sewing	False
I thought there would be a cute little design on the clips.	0	Beauty_and_Personal_Care	False
It comes beautifully packaged in these tiny powdered tea packets, so what I got was basically a quarter of the amount of reishi I actually got when I ordered the organic ground version from another company.	0	Grocery_and_Gourmet_Food	False
It could be so much better with a little work.	0	Magazine_Subscriptions	False
If you are determined, I had considered sizing up because it was sort of odd - but I do not recommend sizing up.	0	Amazon_Fashion	False
In other words, say what it CAN'T do so I don't waste my time downloading a basic calculator.	0	Software	False
Wrens, sparrows, finches and cardinals all like to visit for a bath.	1	Patio_Lawn_and_Garden	False
If your dishwasher is like mine, keep looking for something else.	0	Appliances	False
Once the ending arroyos then long for the next book.	1	Kindle_Store	False
All that yummy goodness with the chocolate in every bite is just my favorite snack morning, noon, and night.	1	Grocery_and_Gourmet_Food	False
But I had to cut the whole in the middle bigger so it would go over the flower holder to keep the Libre from being knocked off.	0	Health_and_Household	False
One of the main things for me is an easy on and off - with a big bang appearance.	1	Handmade_Products	False
Any small screw dropped in my computer case seemed to end up inside the bottom mounted power supply.	1	Electronics	False
There are six steamers in this package.	0	Health_and_Personal_Care	False
I’ve had this for a couple months and it’s already coming apart.	0	Automotive	False
Love Wally Lamb's other books but this one is so bad I never made it out of the 3rd chapter :(	0	Kindle_Store	False
"I just use the remote - the ""tap"" thing is just frustrating in my opinion."	0	Baby_Products	False
Overall, I’m happy to at least have the album, but if you’re going to buy to get the whole set as a fan, don’t do it.	0	Digital_Music	False
To dry just turn upside down, it stands up and drains out any remaining water.	1	Sports_and_Outdoors	False
"I'm 6' 3"" and taller when I'm wearing tennis shoes."	0	Sports_and_Outdoors	False
Bought to play in a boom box that I use in my golf cart, in local xmas parade.	1	CDs_and_Vinyl	False
I kept this device in my purse and as soon as I could see the power getting critically low, I was easily able to recharge my phone and continue with my explorations.	1	Cell_Phones_and_Accessories	False
I also add a bit more water than the fill line says, but again that’s bc of my elevation & it evaporates quickly.	1	Home_and_Kitchen	False
Pua is an up-and-coming surf champ.	0	Video_Games	False
This is no longer a feel good show that most of us go to Hallmark for.	0	Movies_and_TV	False
I would recommend for as low as 3 years old.	1	Toys_and_Games	False
Also, the conditioner makes the floor of the shower or tub very slippery (almost as if I put Pledge on a floor).	0	All_Beauty	False
I was looking for a way to decorate my husbands office with superhero theme but without it looking tacky (as our house has colonial design throughout).	1	Handmade_Products	False
Definitely not worth the price or the wait to get them!	0	Home_and_Kitchen	False
I can easily recommend this stuff.	1	Industrial_and_Scientific	False
If a person saw this before purchase, they would laugh at the $25 price.<br />It was returned immediately.	0	Toys_and_Games	False
I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes.	0	Office_Products	False
Three-and-one-half stars and a mildly enthusiastic recommendation from this longtime fan.	1	Digital_Music	False
And if you're not, try it, you will be !	1	Digital_Music	False
First, my two year old grandson really liked these (but then again, he loves all sweets).	1	Baby_Products	False
Suggest you watch a couple of her videos on You Tube to see what she is all about.	1	CDs_and_Vinyl	False
We have had no issues with clumps, and it eliminates the bubbles that shaking a formula tends to give.	1	Baby_Products	False
It has not clogged up my nibs.	1	Office_Products	False
I order it for my brother and he loves it.	1	Magazine_Subscriptions	False
I just don't know how to feel about him -- and a better book would have more clearly explained his feelings and motivations.	0	Books	False
Bought these for my husband’s upgrade	1	Cell_Phones_and_Accessories	False
It pooped out on me after three weeks!	0	Appliances	False
This is the filter you want to use.,!	1	Automotive	False
I love this, and have 2 (one for upstairs and one for downstairs).	1	Unknown	False
Yes the size is unique however you can find frames if you know where to look and you can search the magical thing called the internet and you can basically find anything there.	1	Handmade_Products	False
Even though they have a US mailing address the phone number on their page is in China.<br /><br />Edit - company didn't take long to contact me.	0	Musical_Instruments	False
I doubt this is very protective.	0	Cell_Phones_and_Accessories	False
I’ve tried jar openers etc & it still will not budge.	0	Office_Products	False
But the legs, being so small, aren't very stable.	0	Musical_Instruments	False
A magazine that fulfills my wishes is New Mexico Magazine.<br /><br />With this monthly publication, you get a rundown of the events, the places, the people, the art, and the food that make New Mexico unique.	1	Magazine_Subscriptions	False
More importantly, these work beautifully in hibachi style grills and they do last the claimed amount of time.<br /><br />Despite my caveat about these being less than optimal for camping, one or two in a backpack are a good hedge against an emergency.	1	Digital_Music	False
Before you read my observations take the time to check out  Tom's very thorough and helpful video review dated April 5, 2016.<br /><br />These are far better suited to home use than camping in my opinion for a number of reasons.	1	Digital_Music	False
Have given as Holiday, Birthday & Other Occasions remembrances.	1	Gift_Cards	False
They are loose and falling off.	0	Home_and_Kitchen	False
I would not recommend this product, especially considering that it is not a necessity exclamation point I do not believe that the PlayStation 4 has any cooling issues!	0	Video_Games	False
I purchased these to see if I could set my mom's hair.	1	All_Beauty	False
That said, the program function works great and he wakes up to fresh, hot coffee every day.	1	Home_and_Kitchen	False
This ice maker doesn’t work at all.	0	Appliances	False
It was ungiftable and I had to use a different gift box for the gift card.	0	Gift_Cards	False
I had to superglue them back on.	0	Unknown	False
What happened to the old Readers Digest??	0	Magazine_Subscriptions	False
The last photo (not the best pic) shows one eye with, one eye without and no other makeup.<br />Hope this helps..<br />  Stay Beautiful!	1	Subscription_Boxes	False
The love triangle gets really old and they’ve over done it with this one on this show.	0	Movies_and_TV	False
So I had to use it backwards.	0	Automotive	False
The Prophet Speaks is the latest covers set (plus six Van compositions), and it's simply one too many (at the very least).	0	CDs_and_Vinyl	False
The gift BOXES are free and classy!	1	Gift_Cards	False
The pockets do seem big and roomy though!<br /><br />I decided not to use the attachment ring on the harness because it destabilizes the load when my dog moves about.	1	Pet_Supplies	False
The cost is attractive; considering you will likely replace them again in the future.	1	Electronics	False
Perfect for spouting up and putting in cards, baskets when I need a quick gift !	1	Gift_Cards	False
For those looking to sit with a magazine and relax and learn how to be healthier, reduce stress and live a better life I recommend this journal subscription.	1	Magazine_Subscriptions	False
During my research, Amazon sent me an email with info about subscription box services.	1	Subscription_Boxes	False
If you purchase these they are probably going to flicker - if that doesn't bother you, fine.	0	Tools_and_Home_Improvement	False
The squirrel was limping from a fall.	1	Office_Products	False
This is a very sheer polish.	1	Beauty_and_Personal_Care	False
It’s also stuck to the inside of my dryer.	0	Home_and_Kitchen	False
All my reviews reflect my honest, personal experience with the reviewed item - your experience may be different.	1	Industrial_and_Scientific	False
Im ok with quiet more than inscesive rambling.	0	Movies_and_TV	False
Years ago Inox made knitting needles that were Teflon<br />Coated like this feels although it’s plastic.	1	Arts_Crafts_and_Sewing	False
I don't vacuum my hard floors, I sweep them.<br /><br />I would definitely consider this vacuum a fail.	0	Home_and_Kitchen	False
The information is good, but the yellow CD pictured are the latest version and the one I received was an older set.<br /><br /> I was very disappointed I didn't know about the older set being recorded around 2008.	0	Digital_Music	False
They fall off after a few minutes of low intensity activity 😒	0	All_Beauty	False
I'm not happy about that usually have no issues when buying detergent WHAT HAPPENED??	0	Health_and_Household	False
Good start but with Hurricanes constant whining and the constant jump in story I quit the book no longer held my interest it was just annoying	0	Kindle_Store	False
He can now have comfortable socks to lounge in.	1	Clothing_Shoes_and_Jewelry	False
I love this sign, live on a corner and near 2 schools so everyone uses my driveway as a turnaround which damages the blacktop over time depending on the type and weight of the transportation being used meaning truck vs car.	1	Industrial_and_Scientific	False
Great running socks for those who need extra support and wear long running pants.	1	Amazon_Fashion	False
My son loves it.. committed himself to playing the online version to level 20 and begged until I bought the actual game.	1	Video_Games	False
I had a difficult time staying interested in the book.	0	Kindle_Store	False
Very happy with purchase, quick delivery.	1	Arts_Crafts_and_Sewing	False
This is a great backseat cover for my Toyota Camry that protects my seats from dog drool and dirt (and fur).	1	Automotive	False
They are delicious the salt just gives it that kick of YUM AND TEXTURE !	1	Grocery_and_Gourmet_Food	False
Gonna try a little bleach on it next.	1	Office_Products	False
Easy to apply, you can immediately feel the moisture starting to work.	1	All_Beauty	False
Maybe not : (  Why do you personalize every word or action into a racial issue?	0	Movies_and_TV	False
I like the chance to sample before buying a large bag.	1	Subscription_Boxes	False
These hasd obviously been opened & returned.	0	Pet_Supplies	False
I ordered this product to fit my Roaster Oven and it does not, I kind of &#34;jerry rigged&#34;, but I decided not to return it because it would cost more to do so.	0	Appliances	False
It's frustrating to order something as a gift for someone and then months later they still haven't seen it.	0	Magazine_Subscriptions	False
I loved these beautifully made dresses.	1	Toys_and_Games	False
Did Columbia change where and who is now producing their products?	0	Clothing_Shoes_and_Jewelry	False
I can't however smell it anywhere else throughout the house, which is a shame.	0	Handmade_Products	False
Both feature a significant share of silly articles and questionable writing abilities by the journalists who contribute to each issue.	0	Magazine_Subscriptions	False
Bad quality control.They could not possibly have tested this before sending it out.	0	Appliances	False
I bought this to keep my sewing stuff in (threads and needles).	1	Arts_Crafts_and_Sewing	False
If they changed the scents and added more scents to these, then maybe that would make these better but as they are right now, I will NEVER buy these again.	0	Handmade_Products	False
The good news is that there isn't any annoying ads, popups, or bloat ware that I am aware of or have noticed.	1	Software	False
I didn't want to redo them completely.	1	Industrial_and_Scientific	False
My AirPods fit snugly into the case and the cases latching button is magnetic and closes easily and is very secure.	1	Electronics	False
Out of the 2 bags I only got 10 working rings.	0	Toys_and_Games	False
Cheaply made, Tape did not hold branches and they just flopped about and could not be shaped.	0	Home_and_Kitchen	False
If they decide to &#34;end&#34; a game - all the purchases you make in game are gone... not to mention any and all tokens.	0	Software	False
I don’t understand why one would make a first aid “kit “ this small.	0	Health_and_Household	False
Very nice bells....a tad more than I wanted to pay.....but you get what you pay for.	1	Musical_Instruments	False
The magnetic eyeliner and eyelashes kit was actually a great choice for me first time using magnetic.	1	Beauty_and_Personal_Care	False
I can't believe I didn't discover this earlier.	1	Baby_Products	False
This rug is bright and colorful and gives the porch a pop of color.	0	Patio_Lawn_and_Garden	False
Before switching to Linzess I used to take one 1,000 mg pill am & pm every day with meals & always with an 8 ounce glass of water or other liquid.	1	Health_and_Personal_Care	False
I was able to cinch the waist in front and in the back.	1	Clothing_Shoes_and_Jewelry	False
There is no spot for Virginia.	0	Office_Products	False
However, one of the legs broke in August 2020 after light use by one person (my husband) who weighs well beneath the weight limit specified for the chairs.	0	Home_and_Kitchen	False
I can relate to Lily with her struggles with loss.	1	Movies_and_TV	False
I tried using a book to flatten and followed all the instructions to get it to stick and it just didn't.	0	Automotive	False
I've definitely told my friends about this subscription box, and I'm excited to see what will be in future boxes.	0	Subscription_Boxes	False
This is a nice kit with many colors of thread, scissors, needles of different sizes in a nice organizer, thimble, etc.	1	Arts_Crafts_and_Sewing	False
The shorter issues use staples for binding while the longer issues are bound in a more professional way, minus any metal.<br /><br />This magazine centers on entertainers, fashion, music, and the like.	0	Magazine_Subscriptions	False
I didn't want her to be disappointed....	0	Clothing_Shoes_and_Jewelry	False
You get the sense the authors are simplifying or dumbing down a more authoritative source on their subjects than themselves.	0	Magazine_Subscriptions	False
It is expensive but worth it.	1	Magazine_Subscriptions	False
Low on the &#34;Geographic&#34; high on the &#34;People Magazine&#34; .	0	Magazine_Subscriptions	False
found this group by accident  so glad i did	1	CDs_and_Vinyl	False
THEY SHOW A COMMERCIAL WHERE THE OWNERS IS TALKING TO CRIMINALS IN REAL TIME.	0	Electronics	False
This is a very firm mattress.	0	Baby_Products	False
You guys need to get this hat!	1	Clothing_Shoes_and_Jewelry	False
But they all taste the same, sweet yes but no flavor.	0	Grocery_and_Gourmet_Food	False
One of the great albums of the '70s, musically, is a five star release.	0	CDs_and_Vinyl	False
"This ""book"" went from one part of the book to another."	0	Kindle_Store	False
It was a gift, but it will be getting the frisbee fly technique to the nearest trash can from me.	0	CDs_and_Vinyl	False
"Other T""s I have in a large measure 2"" longer (measured center back from just below neck band to hem."	0	Subscription_Boxes	False
I received all the pairs that were syated.	1	Arts_Crafts_and_Sewing	False
I would not expect to purchase this for more than $2 a bar and that is even expensive for this tiny size.	0	All_Beauty	False
I love the items that were in the one box I got, but unfortunately I can’t spend $15/month for only 1 full-size items & feel ok about it.	1	Subscription_Boxes	False
STILL WILL NOT PAIR WITH DOCKING STATION AND IS USELESS.	0	Electronics	False
Therefore, looking more white and being a more attractive person.	0	Subscription_Boxes	False
The choice of things to count is random (stall, apples, chickens, etc.	0	Baby_Products	False
I just removed the spool and coiled this to use to hang food away from bears.	1	Sports_and_Outdoors	False
Thank you Brian for taking the risk.	1	Books	False
Going directly to the garbage can and then I have to review the seller	0	Office_Products	False
Honestly I found these so uncomfortable I couldn't wear them long enough to see if they helped with my bunion pain.	0	Health_and_Household	False
I also experience, while running, the jostling of the settings (meaning that all of a sudden it skipped to the next song).	0	Electronics	False
IT NEVER SHOWS OR NOTIFIES ME WHEN THEY ARE WALKING UP ON MY PROPERTY.	0	Electronics	False
I use Open table mostly when I am traveling.	1	Software	False
I contacted Schwin several times to see I they had any other seats available, and no reponse.	0	Sports_and_Outdoors	False
That being said a bit pricy considering it’s not automatic dusk to dawn.	1	Tools_and_Home_Improvement	False
They are way too sweet and none of the candies taste like apple, orange, pineapple or strawberry.	0	Grocery_and_Gourmet_Food	False
ALSO... my front, top 4 teeth are 15 year old porcelain overlays.	0	Health_and_Personal_Care	False
Drink up you tea lovers drink up!	1	Grocery_and_Gourmet_Food	False
Don’t like how my feet look when using it, but I like having less sweaty feet.	0	Beauty_and_Personal_Care	False
Not sure if anyone else had this problem.	0	Tools_and_Home_Improvement	False
If it's a good meal and service, we might pay more than 30% of dinner price as tip but we had a horrible dining experience in Olive Garden.	0	Gift_Cards	False
I'm loving every song on this album.	1	CDs_and_Vinyl	False
they even had a pop-up window to verify the fit... WRONG... so disappointed	0	Unknown	False
If you want cheap, flimsy, awkward, and your expensive as all get out guitars to tip over then this is for you, if not keep looking	0	Musical_Instruments	False
They were too big for what I wanted.	0	Home_and_Kitchen	False
The white color is too cool and dim for my tastes.	1	Unknown	False
The contents starts with the interviews for that specific issue on one page, then a few pages later, proceeds to the remainder of the contents, which is the regular monthly features.	0	Magazine_Subscriptions	False
Not too big, but not too small either.	1	Home_and_Kitchen	False
In which case, you have to return the one package to receive a credit.	0	Health_and_Personal_Care	False
"If I were swimming I would leave it on, although the propoganda states that if you wear in ""treated"" water it reduce it's life - odd to me."	0	Sports_and_Outdoors	False
It is terrific to get all of the Motown hits on one CD.	1	CDs_and_Vinyl	False
I received this and decided to let my 31 year old son try it first.	0	Health_and_Household	False
i had a small one  that just got destroyed  these wires are much longer and bigger  i expect to live a lot longer than the tiny one i had !	1	All_Beauty	False
I have wasted so much time on this project.	0	Handmade_Products	False
I was looking for a probiotic that could help my stomach.	0	Unknown	False
Bought these for our son's pictures on our Gallery wall.	1	Home_and_Kitchen	False
It amazes me how much stuff this flosser removes with a simple puff of air.	1	All_Beauty	False
Unfortunately, that is where the good stops.<br /><br />First, the bad.	0	Video_Games	False
My family didn't care for this, some of the pieces were a bit torn and the quality wasn't the best so we're going to skip this vendor.	0	Unknown	False
It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.	1	Industrial_and_Scientific	False
Afraid to hot glue it together bec I’m afraid the plastic will melt.	0	Tools_and_Home_Improvement	False
I am not influenced by any outside source.	1	Automotive	False
However, the socks fit perfectly as-is which really surprised me given my arches.	1	Sports_and_Outdoors	False
That being said, all the boys did a fine job acting in it.	1	Movies_and_TV	False
I wont comment on the way they look seeings how looks dont have anything to do with how they sound but they didnt have many groupies thats for sure.	0	CDs_and_Vinyl	False
This book took me a few chapters to get into it- so don’t give up!	1	Books	False
In the trash it went, along with my $.	0	Home_and_Kitchen	False
There are six (6) velvet headbands with buttons in this set.	0	All_Beauty	False
Before discovering the paid &#34;opportunites&#34; I found it just &#34;ok&#34; and quickly boring.	0	Software	False
No allergic reactions whatsoever to any of the ingredients or capsules, which is not an easy feat for someone with several severe food allergies.	1	Health_and_Household	False
I can't vouch for their health benefits, but they do come in a convenient package and are comfortable to wear for extended periods of time.	1	Industrial_and_Scientific	False
Awesome cd, great music and I love buying the cd and supporting the artists.	1	CDs_and_Vinyl	False
he's telling the truth about a situation that has been saying bag by the environment with radicals for yearslet me repeat this this is something that has been saying bag by the environmental radicals for years another words it's a lie but he's telling the truth	1	Books	False
Had to stop first episode of season 2 after about 10 minutes.	0	Movies_and_TV	False
They’re old enough to buy their own things, but it’s always nice to have someone else buy lunch!	1	Gift_Cards	False
"The ad lists ""8x12""  right there in black in white."	0	Office_Products	False
